uid,t_fastga_total,t_fastga_integrate,t_fastga_peak,t_polylidar_planepoly,t_polylidar_filter,t_bilateral,t_polylabel,t_mesh_extraction,computer
1,8.283871999992698,0.8968090005510021,7.387062999441696,3.6010979993079673,30.51585800039902,6.633070000134467,0.20282700006646337, 48.610,odyssey
2,8.538101000340248,0.8589560002292274,7.679145000111021,4.6430900001723785,39.48373000002903,5.6996779994733515,0.20065899934706977, 36.421,odyssey
3,6.438249998609535,0.9094909992199973,5.528758999389538,4.129666999688197,34.81551099957869,6.274128999393724,0.19381800029805163, 51.100,odyssey
4,4.0795339991746005,1.136981999479758,2.9425519996948424,4.750697000417858,25.653667999904428,6.894510999700287,0.2899270002671983, 55.543,odyssey
5,6.7119380000804085,1.0965780002152314,5.615359999865177,5.214254000748042,55.52981399887358,7.961134999277419,0.297831000352744, 59.329,odyssey
6,2.383670999734022,0.28024599987475085,2.1034249998592713,1.7232810000678,11.257351000040217,1.443517000097927,0.08591099958721315, 17.778,desktop
7,3.2779279999886057,0.4607949999808625,2.8171330000077432,1.97942199974932,6.053824999980861,1.3969200003884907,0.10642899997037603, 12.855,desktop
8,2.961214000151813,0.35203000015826547,2.6091839999935473,1.971958000012819,13.218533000326715,1.8615419999150618,0.10610899971652543, 17.527,desktop
9,2.8945879998900637,0.5256159997770737,2.36897200011299,2.1798590000798868,13.218252999649849,1.943436000146903,0.1318370000262803, 19.404,desktop
10,3.105042000015601,0.7792010001139715,2.3258409999016294,2.748693000057756,20.270272000061595,2.4366279999412654,0.12044599998262129, 21.09,desktop


 





